Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,NASDAQ Symbol,NextShares
Y,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Q,G,N,100,N,N,AACG,N
Y,AAL,"American Airlines Group, Inc. - Common Stock",Q,Q,N,100,N,N,AAL,N
Y,AAME,Atlantic American Corporation - Common Stock,Q,G,N,100,N,N,AAME,N
Y,AAOI,"Applied Optoelectronics, Inc. - Common Stock",Q,G,N,100,N,N,AAOI,N
Y,AAON,"AAON, Inc. - Common Stock",Q,Q,N,100,N,N,AAON,N
Y,AAPL,Apple Inc. - Common Stock,Q,Q,N,100,N,N,AAPL,N
Y,AAWW,Atlas Air Worldwide Holdings - Common Stock,Q,Q,N,100,N,N,AAWW,N
Y,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,Q,G,Y,100,N,N,AAXJ,N
Y,AAXN,"Axon Enterprise, Inc. - Common Stock",Q,Q,N,100,N,N,AAXN,N
Y,ABCB,Ameris Bancorp - Common Stock,Q,Q,N,100,N,N,ABCB,N
Y,ABEO,Abeona Therapeutics Inc. - Common Stock,Q,S,N,100,N,N,ABEO,N
Y,ABIO,"ARCA biopharma, Inc. - Common Stock",Q,S,N,100,N,N,ABIO,N
Y,ABMD,"ABIOMED, Inc. - Common Stock",Q,Q,N,100,N,N,ABMD,N
Y,ABTX,"Allegiance Bancshares, Inc. - Common Stock",Q,G,N,100,N,N,ABTX,N
Y,ABUS,Arbutus Biopharma Corporation - Common Stock,Q,Q,N,100,N,N,ABUS,N
Y,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,Q,N,100,N,N,ACAD,N
Y,ACAM,Acamar Partners Acquisition Corp. - Class A Common Stock,Q,S,N,100,N,N,ACAM,N
Y,ACAMU,Acamar Partners Acquisition Corp. - Units,Q,S,N,100,N,N,ACAMU,N
Y,ACBI,"Atlantic Capital Bancshares, Inc. - Common Stock",Q,Q,N,100,N,N,ACBI,N
Y,ACER,Acer Therapeutics Inc. - Common Stock,Q,S,N,100,N,N,ACER,N
Y,ACGL,Arch Capital Group Ltd. - Common Stock,Q,Q,N,100,N,N,ACGL,N
